midi_note,velocity,duration,label
60,55,0.16873911499999994,0.1111111111111111
63,71,0.1854352130000001,0.2222222222222222
70,62,0.18435595300000007,0.3333333333333333
60,71,0.16978732699999988,0.4444444444444444
63,73,0.18230252499999988,0.5555555555555556
70,64,0.18747341100000003,0.6666666666666666
60,64,0.14689266699999992,0.7777777777777778
63,68,0.18230802300000004,0.8888888888888888
70,68,0.19685620000000004,1.0
73,71,0.15001006900000036,0.1111111111111111
66,65,0.09478465699999994,0.2222222222222222
65,71,0.15627087099999937,0.3333333333333333
73,64,0.16148711899999935,0.4444444444444444
66,64,0.11457140400000032,0.5555555555555556
65,71,0.14792984500000017,0.6666666666666666
73,62,0.16664617899999978,0.7777777777777778
66,62,0.13123516899999998,0.8888888888888888
65,57,0.057278365000000164,1.0
65,71,0.13228065000000022,0.1111111111111111
66,62,0.15520309700000112,0.2222222222222222
67,62,0.11561593900000044,0.3333333333333333
65,68,0.1448131100000003,0.4444444444444444
66,65,0.1489631350000007,0.5555555555555556
67,65,0.13227716399999956,0.6666666666666666
65,62,0.12294688100000073,0.7777777777777778
66,68,0.1510286789999995,0.8888888888888888
67,54,0.08437638500000055,1.0
74,66,0.1531195830000005,0.1111111111111111
62,67,0.1312626399999992,0.2222222222222222
68,71,0.14477209300000027,0.3333333333333333
74,62,0.1375214370000002,0.4444444444444444
62,62,0.14376495800000022,0.5555555555555556
68,71,0.17292497400000073,0.6666666666666666
74,56,0.14169430199999944,0.7777777777777778
62,58,0.13955909100000063,0.8888888888888888
68,66,0.11039676799999931,1.0
78,56,0.24169403600000017,0.1111111111111111
67,56,0.13854971700000007,0.2222222222222222
70,66,0.13022720899999918,0.3333333333333333
78,57,0.15832762600000017,0.4444444444444444
67,57,0.13439072599999946,0.5555555555555556
70,69,0.1416440699999999,0.6666666666666666
78,56,0.20627776699999956,0.7777777777777778
67,56,0.1353976320000001,0.8888888888888888
70,65,0.12810168699999913,1.0
65,59,0.11771619900000019,0.1111111111111111
76,59,0.2677030829999971,0.2222222222222222
70,65,0.14061245799999966,0.3333333333333333
76,54,0.16042221599999706,0.4444444444444444
65,54,0.1385498539999972,0.5555555555555556
70,73,0.13853443700000057,0.6666666666666666
76,56,0.2041880969999994,0.7777777777777778
65,56,0.10937571499999876,0.8888888888888888
70,74,0.13020428400000128,1.0
70,63,0.13228045099999974,0.1111111111111111
74,61,0.15105961100000087,0.2222222222222222
64,54,0.08959224299999846,0.3333333333333333
70,65,0.13644418200000175,0.4444444444444444
74,53,0.15523334199999894,0.5555555555555556
64,53,0.09790207100000003,0.6666666666666666
70,70,0.13856721499999836,0.7777777777777778
74,65,0.16456986400000062,0.8888888888888888
64,50,0.05417243100000135,1.0
67,68,0.06562375000000031,0.1111111111111111
73,68,0.12919989199999904,0.2222222222222222
63,56,0.3614211509999983,0.3333333333333333
67,59,0.06458014600000084,0.4444444444444444
73,68,0.10938810000000032,0.5555555555555556
63,68,0.3427211959999994,0.6666666666666666
67,66,0.07603201100000234,0.7777777777777778
73,68,0.09895178100000379,0.8888888888888888
63,68,0.5208284879999994,1.0
67,55,0.21455907200000013,0.1111111111111111
70,65,0.1687304119999986,0.2222222222222222
62,56,0.1916709499999989,0.3333333333333333
67,62,0.1677213910000006,0.4444444444444444
70,68,0.1635287080000012,0.5555555555555556
62,56,0.18543242499999835,0.6666666666666666
67,59,0.17290682200000163,0.7777777777777778
70,65,0.19584423299999898,0.8888888888888888
62,54,0.1583140510000014,1.0
70,69,0.15622567799999842,0.1111111111111111
62,60,0.16876461900000095,0.2222222222222222
67,64,0.16978495900000112,0.3333333333333333
70,69,0.13645532900000035,0.4444444444444444
62,63,0.17395498400000164,0.5555555555555556
67,62,0.17187033000000085,0.6666666666666666
70,69,0.15210344200000137,0.7777777777777778
62,58,0.1760422979999987,0.8888888888888888
67,51,0.10104354199999932,1.0
69,59,0.15726826800000282,0.1111111111111111
62,51,0.18230694500000055,0.2222222222222222
67,45,0.14581160000000182,0.3333333333333333
69,55,0.1562521450000034,0.4444444444444444
62,54,0.1760457159999973,0.5555555555555556
67,54,0.1385384209999998,0.6666666666666666
69,61,0.17186787499999667,0.7777777777777778
62,61,0.18851923599999765,0.8888888888888888
67,53,0.0989568460000001,1.0
69,70,0.14790700500000042,0.1111111111111111
61,70,0.13125825700000604,0.2222222222222222
64,60,0.14685607300000214,0.3333333333333333
69,61,0.1521017709999981,0.4444444444444444
61,61,0.12917702699999722,0.5555555555555556
64,64,0.13957919900000348,0.6666666666666666
69,63,0.1447997799999996,0.7777777777777778
61,63,0.13230715599999598,0.8888888888888888
64,63,0.066666859999998,1.0
60,63,0.12083166899999753,0.1111111111111111
62,67,0.09582792399999818,0.2222222222222222
70,66,0.10832908100000083,0.3333333333333333
60,65,0.12085086299999404,0.4444444444444444
62,73,0.11772190899999657,0.5555555555555556
70,68,0.128130402999993,0.6666666666666666
60,68,0.08437635599999993,0.7777777777777778
62,73,0.12604687299999995,0.8888888888888888
70,73,0.05104322700000097,1.0
75,58,0.11876755499999803,0.1111111111111111
62,68,0.12917612599999728,0.2222222222222222
68,68,0.08540640199999672,0.3333333333333333
75,63,0.11979616600000043,0.4444444444444444
62,63,0.10937599400000408,0.5555555555555556
68,79,0.11251754300000272,0.6666666666666666
75,67,0.1250000920000005,0.7777777777777778
62,67,0.1020749250000037,0.8888888888888888
68,72,0.04791377499999783,1.0
74,68,0.11980893100000145,0.1111111111111111
73,59,0.050000158999999655,0.2222222222222222
67,63,0.08956134900000023,0.3333333333333333
74,63,0.13539701500000234,0.4444444444444444
73,50,0.04478471400000217,0.5555555555555556
67,59,0.08854191500000042,0.6666666666666666
74,62,0.14063506899999823,0.7777777777777778
73,62,0.08647397100000376,0.8888888888888888
67,48,0.08229056799999768,1.0
67,53,0.12291359599999652,0.1111111111111111
68,69,0.0833335169999998,0.2222222222222222
74,59,0.11562350399999843,0.3333333333333333
67,74,0.12397960199999858,0.4444444444444444
68,74,0.10414989199999525,0.5555555555555556
74,60,0.13019126100000022,0.6666666666666666
67,71,0.11353729099999299,0.7777777777777778
68,71,0.11253312799999549,0.8888888888888888
74,62,0.07188229399999813,1.0
69,65,0.09584008499999896,0.1111111111111111
67,59,0.12291441800000058,0.2222222222222222
74,56,0.13124764099999453,0.3333333333333333
69,56,0.06874084500000066,0.4444444444444444
67,66,0.12810998900000214,0.5555555555555556
74,66,0.12292499200000151,0.6666666666666666
69,63,0.087515965999998,0.7777777777777778
67,64,0.11457306599999839,0.8888888888888888
74,60,0.07811786500000295,1.0
72,78,0.1593774950000011,0.1111111111111111
74,65,0.13956859999999693,0.2222222222222222
67,68,0.1572999589999995,0.3333333333333333
72,59,0.13540950399999474,0.4444444444444444
74,58,0.14271496799999994,0.5555555555555556
67,58,0.13333371800000293,0.6666666666666666
72,56,0.13958156300000013,0.7777777777777778
74,56,0.1281356169999981,0.8888888888888888
67,52,0.10520217900000262,1.0
72,68,0.09895734300000214,0.1111111111111111
75,60,0.1541628089999989,0.2222222222222222
67,60,0.12085250999999886,0.3333333333333333
72,67,0.10000051499999785,0.4444444444444444
75,60,0.15415920299999897,0.5555555555555556
67,70,0.11456941299999812,0.6666666666666666
72,72,0.13124699199999412,0.7777777777777778
75,72,0.1395846319999947,0.8888888888888888
67,60,0.06874166299999729,1.0
68,65,0.13854158299999852,0.1111111111111111
75,57,0.1375057830000017,0.2222222222222222
64,57,0.12815187700000052,0.3333333333333333
68,69,0.12499818100000226,0.4444444444444444
75,64,0.12394560699999602,0.5555555555555556
64,64,0.1291705199999953,0.6666666666666666
68,68,0.14792956000000146,0.7777777777777778
75,63,0.12395695100000381,0.8888888888888888
64,63,0.10521519600000317,1.0
68,70,0.11978462300000103,0.1111111111111111
74,68,0.10936525200000347,0.2222222222222222
63,63,0.11876638700000086,0.3333333333333333
68,73,0.11456993699999884,0.4444444444444444
74,68,0.11771000699999945,0.5555555555555556
63,70,0.12705920599999843,0.6666666666666666
68,71,0.12709220200000004,0.7777777777777778
74,70,0.11147421100000088,0.8888888888888888
63,65,0.09269836400000031,1.0
62,59,0.13645135600000202,0.1111111111111111
68,59,0.09375476200000321,0.2222222222222222
73,70,0.11356024100000184,0.3333333333333333
62,68,0.13747981200000225,0.4444444444444444
68,77,0.10832204300000114,0.5555555555555556
73,65,0.1145689530000027,0.6666666666666666
62,71,0.12186984800000289,0.7777777777777778
68,69,0.1187402139999989,0.8888888888888888
73,69,0.09377903299999701,1.0
61,68,0.10835708199999772,0.1111111111111111
67,74,0.10520598900000522,0.2222222222222222
72,68,0.1114510669999973,0.3333333333333333
61,68,0.1114647679999976,0.4444444444444444
67,73,0.12290198299999844,0.5555555555555556
72,67,0.11563869500000123,0.6666666666666666
61,67,0.10834466200000037,0.7777777777777778
67,81,0.11248200899999716,0.8888888888888888
72,81,0.04272094200000254,1.0
69,62,0.10624898300000041,0.1111111111111111
70,65,0.08124686600000075,0.2222222222222222
71,65,0.12189710199999837,0.3333333333333333
69,66,0.12080665500000265,0.4444444444444444
70,66,0.0812696540000033,0.5555555555555556
71,68,0.12291468899999103,0.6666666666666666
69,68,0.106258591999989,0.7777777777777778
70,71,0.08436655999999232,0.8888888888888888
71,71,0.09063476600000797,1.0
67,78,0.11666548499999863,0.1111111111111111
68,71,0.09687096200001122,0.2222222222222222
71,60,0.1114481139999981,0.3333333333333333
67,60,0.1145981540000065,0.4444444444444444
68,64,0.09687127499999804,0.5555555555555556
71,65,0.10937344500000279,0.6666666666666666
67,78,0.11770998800000143,0.7777777777777778
68,68,0.09273430800000426,0.8888888888888888
71,68,0.10208664799999667,1.0
65,78,0.10936518200000478,0.1111111111111111
66,78,0.08126001300000496,0.2222222222222222
74,62,0.10936557099999789,0.3333333333333333
65,77,0.10103409200000613,0.4444444444444444
66,77,0.1145807139999988,0.5555555555555556
74,60,0.11772142499999916,0.6666666666666666
65,78,0.10935310799999343,0.7777777777777778
66,78,0.10103079700000706,0.8888888888888888
74,59,0.04480732599999726,1.0
59,62,0.3312500039999975,0.1111111111111111
73,66,0.2541882790000045,0.2222222222222222
66,66,0.20624523099999692,0.3333333333333333
59,64,0.18436502699999835,0.4444444444444444
73,65,0.21458366899999248,0.5555555555555556
66,65,0.20210098799999798,0.6666666666666666
59,70,0.16769972299999836,0.7777777777777778
73,66,0.22813169699999492,0.8888888888888888
66,66,0.11769882599999448,1.0
62,66,0.16042238299999667,0.1111111111111111
72,60,0.16041127300000824,0.2222222222222222
67,60,0.11877251700001068,0.3333333333333333
62,73,0.133333554999993,0.4444444444444444
72,62,0.13746803399999408,0.5555555555555556
67,62,0.10627711400000805,0.6666666666666666
62,76,0.13646294699999828,0.7777777777777778
72,76,0.1312339579999957,0.8888888888888888
67,61,0.0885486899999961,1.0
60,58,0.09688116899999955,0.1111111111111111
62,71,0.11769397900000911,0.2222222222222222
70,63,0.10936484500000176,0.3333333333333333
60,63,0.10729149899999868,0.4444444444444444
62,68,0.12292528700001526,0.5555555555555556
70,59,0.11769935300000611,0.6666666666666666
60,59,0.06873004500000945,0.7777777777777778
62,68,0.13958255900000438,0.8888888888888888
70,68,0.12187655099999972,1.0
67,59,0.11771002599999747,0.1111111111111111
66,64,0.11456889999999476,0.2222222222222222
63,68,0.1427338609999964,0.3333333333333333
67,59,0.11562385899999583,0.4444444444444444
66,61,0.10727885599999354,0.5555555555555556
63,67,0.13856285299999627,0.6666666666666666
67,55,0.11250701299999832,0.7777777777777778
66,67,0.12709756099999936,0.8888888888888888
63,59,0.10001671800000622,1.0
63,71,0.12394624400000964,0.1111111111111111
66,71,0.10937058200001104,0.2222222222222222
67,59,0.11146688099999835,0.3333333333333333
63,66,0.12916165500000432,0.4444444444444444
66,66,0.11039623199999937,0.5555555555555556
67,51,0.10101250399999628,0.6666666666666666
63,69,0.11353736200000242,0.7777777777777778
66,69,0.12812907199999302,0.8888888888888888
67,53,0.11769936000000314,1.0
62,61,0.1343677570000068,0.1111111111111111
63,61,0.057301554000005694,0.2222222222222222
70,65,0.1322907410000056,0.3333333333333333
62,56,0.09894590000000392,0.4444444444444444
63,65,0.11250126100000557,0.5555555555555556
70,65,0.12185972700000036,0.6666666666666666
62,56,0.07915017199999852,0.7777777777777778
63,62,0.11253230100000167,0.8888888888888888
70,59,0.08959219400000507,1.0
